lambda            n
2.32666356   1.46538811
2.32720503   1.46534302
2.32774674   1.46529812
2.32828871   1.46525283
2.32883093   1.46520773
2.32937340   1.46516224
2.32991612   1.46511696
2.33045910   1.46507148
2.33100233   1.46502586
2.33154581   1.46498023
2.33208955   1.46493446
2.33263354   1.46488884
2.33317779   1.46484279
2.33372229   1.46479706
2.33426704   1.46475088
2.33481205   1.46470505
2.33535731   1.46465880
2.33590283   1.46461281
2.33644860   1.46456644
2.33699462   1.46452032
2.33754091   1.46447423
2.33808744   1.46442753
2.33863424   1.46438129
2.33918129   1.46433438
2.33972859   1.46428792
2.34027615   1.46424073
2.34082397   1.46419395
2.34137204   1.46414643
2.34192037   1.46409931
2.34246896   1.46405146
2.34301781   1.46400401
2.34356691   1.46395583
2.34411627   1.46390807
2.34466589   1.46386014
2.34521576   1.46381150
2.34576589   1.46376328
2.34631628   1.46371435
2.34686693   1.46366586
2.34741784   1.46361663
2.34796901   1.46356790
2.34852043   1.46351840
2.34907212   1.46346944
2.34962406   1.46342039
2.35017626   1.46337054
2.35072873   1.46332131
2.35128145   1.46327122
2.35183443   1.46322184
2.35238767   1.46317153
2.35294118   1.46312202
2.35349494   1.46307149
2.35404896   1.46302187
2.35460325   1.46297220
2.35515780   1.46292140
2.35571260   1.46287043
2.35626767   1.46282059
2.35682300   1.46276942
2.35737860   1.46271952
2.35793445   1.46266824
2.35849057   1.46261823
2.35904695   1.46256834
2.35960359   1.46251681
2.36016049   1.46246696
2.36071766   1.46241531
2.36127509   1.46236554
2.36183278   1.46231376
2.36239074   1.46226409
2.36294896   1.46221246
2.36350745   1.46216264
2.36406619   1.46211315
2.36462521   1.46206114
2.36518448   1.46201170
2.36574403   1.46195949
2.36630383   1.46191003
2.36686391   1.46185784
2.36742424   1.46180791
2.36798484   1.46175501
2.36854571   1.46170502
2.36910685   1.46165292
2.36966825   1.46160119
2.37022991   1.46154911
2.37079184   1.46149636
2.37135404   1.46144526
2.37191651   1.46139051
2.37247924   1.46133892
2.37304224   1.46128360
2.37360551   1.46123152
2.37416904   1.46117798
2.37473284   1.46112304
2.37529691   1.46106962
2.37586125   1.46101347
2.37642586   1.46096011
2.37699073   1.46090282
2.37755587   1.46084896
2.37812128   1.46079110
2.37868696   1.46073675
2.37925291   1.46068216
2.37981913   1.46062354
2.38038562   1.46056850
2.38095238   1.46050939
2.38100000   1.46050474
2.38151941   1.46045393
2.38208671   1.46039437
2.38265428   1.46033855
2.38322212   1.46027858
2.38379023   1.46022247
2.38435861   1.46016624
2.38492726   1.46010583
2.38549618   1.46004942
2.38606538   1.45998878
2.38663484   1.45993229
2.38720458   1.45987149
2.38777459   1.45981501
2.38834488   1.45975481
2.38891543   1.45969777
2.38948626   1.45964154
2.39005736   1.45958073
2.39062874   1.45952476
2.39120038   1.45946405
2.39177230   1.45940841
2.39234450   1.45935046
2.39291697   1.45929259
2.39348971   1.45923629
2.39406272   1.45917731
2.39463602   1.45912262
2.39520958   1.45906245
2.39578342   1.45900795
2.39635754   1.45894775
2.39693193   1.45889318
2.39750659   1.45883272
2.39808153   1.45877780
2.39865675   1.45871697
2.39923225   1.45866164
2.39980802   1.45860607
2.40000000   1.45858493
2.40000000   1.45858493
2.40038406   1.45854465
2.40096038   1.45848859
2.40153698   1.45842676
2.40211386   1.45837019
2.40269101   1.45830978
2.40326845   1.45825081
2.40384615   1.45819148
2.40442414   1.45813042
2.40500241   1.45807235
2.40558095   1.45800898
2.40615977   1.45795027
2.40673887   1.45788648
2.40731825   1.45782712
2.40789791   1.45776738
2.40847784   1.45770289
2.40905806   1.45764251
2.40963855   1.45757763
2.41021933   1.45751662
2.41080039   1.45745525
2.41138172   1.45738979
2.41196334   1.45732786
2.41254524   1.45726215
2.41312741   1.45719975
2.41370987   1.45713456
2.41429261   1.45707110
2.41487563   1.45700684
2.41545894   1.45694216
2.41604252   1.45687911
2.41662639   1.45681324
2.41721054   1.45675028
2.41779497   1.45668472
2.41837969   1.45662206
2.41896468   1.45655968
2.41954996   1.45649492
2.42013553   1.45643328
2.42072137   1.45636934
2.42130751   1.45630872
2.42189392   1.45624599
2.42248062   1.45618648
2.42306760   1.45612616
2.42365487   1.45606692
2.42424242   1.45600998
2.42483026   1.45595023
2.42541838   1.45589482
2.42600679   1.45583626
2.42659549   1.45578207
2.42718447   1.45572431
2.42777373   1.45567070
2.42836328   1.45561345
2.42895312   1.45556009
2.42954325   1.45550698
2.43013366   1.45545011
2.43072436   1.45539720
2.43131534   1.45534059
2.43190661   1.45528778
2.43249818   1.45523486
2.43309002   1.45517851
2.43368216   1.45512558
2.43427459   1.45506914
2.43486730   1.45501594
2.43546030   1.45495941
2.43605359   1.45490578
2.43664717   1.45484978
2.43724104   1.45479477
2.43783520   1.45474005
2.43842965   1.45468261
2.43900000   1.45462924
2.43902439   1.45462694
2.43961942   1.45456897
2.44021474   1.45451217
2.44081035   1.45445461
2.44140625   1.45439548
2.44200244   1.45433654
2.44259893   1.45427668
2.44319570   1.45421626
2.44379277   1.45415543
2.44439012   1.45409371
2.44498778   1.45403116
2.44558572   1.45396896
2.44618395   1.45390455
2.44678248   1.45384226
