lambda            k
2.35404896   0.00034694
2.35460325   0.00034723
2.35515780   0.00034752
2.35571260   0.00034780
2.35626767   0.00034809
2.35682300   0.00034838
2.35737860   0.00034867
2.35793445   0.00034896
2.35849057   0.00034925
2.35904695   0.00034954
2.35960359   0.00034983
2.36016049   0.00035012
2.36071766   0.00035041
2.36127509   0.00035070
2.36183278   0.00035099
2.36239074   0.00035128
2.36294896   0.00035158
2.36350745   0.00035187
2.36406619   0.00035216
2.36462521   0.00035245
2.36518448   0.00035275
2.36574403   0.00035304
2.36630383   0.00035334
2.36686391   0.00035363
2.36742424   0.00035393
2.36798484   0.00035422
2.36854571   0.00035452
2.36910685   0.00035481
2.36966825   0.00035511
2.37022991   0.00035540
2.37079184   0.00035570
2.37135404   0.00035600
2.37191651   0.00035630
2.37247924   0.00035659
2.37304224   0.00035689
2.37360551   0.00035719
2.37416904   0.00035749
2.37473284   0.00035779
2.37529691   0.00035809
2.37586125   0.00035839
2.37642586   0.00035869
2.37699073   0.00035899
2.37755587   0.00035929
2.37812128   0.00035959
2.37868696   0.00035989
2.37925291   0.00036020
2.37981913   0.00036050
2.38038562   0.00036080
2.38095238   0.00036110
2.38151941   0.00036141
2.38208671   0.00036171
2.38265428   0.00036202
2.38322212   0.00036232
2.38379023   0.00036263
2.38435861   0.00036293
2.38492726   0.00036324
2.38549618   0.00036354
2.38606538   0.00036385
2.38663484   0.00036416
2.38720458   0.00036446
2.38777459   0.00036477
2.38834488   0.00036508
2.38891543   0.00036539
2.38948626   0.00036569
2.39005736   0.00036600
2.39062874   0.00036631
2.39120038   0.00036662
2.39177230   0.00036693
2.39234450   0.00036724
2.39291697   0.00036755
2.39348971   0.00036786
2.39406272   0.00036817
2.39463602   0.00036849
2.39520958   0.00036880
2.39578342   0.00036911
2.39635754   0.00036942
2.39693193   0.00036974
2.39750659   0.00037005
2.39808153   0.00037036
2.39865675   0.00037068
2.39923225   0.00037099
2.39980802   0.00037131
2.40038406   0.00037162
2.40096038   0.00037194
2.40153698   0.00037225
2.40211386   0.00037257
2.40269101   0.00037289
2.40326845   0.00037321
2.40384615   0.00037352
2.40442414   0.00037384
2.40500241   0.00037416
2.40558095   0.00037448
2.40615977   0.00037480
2.40673887   0.00037512
2.40731825   0.00037544
2.40789791   0.00037576
2.40847784   0.00037608
2.40905806   0.00037640
2.40963855   0.00037672
2.41021933   0.00037704
2.41080039   0.00037736
2.41138172   0.00037769
2.41196334   0.00037801
2.41254524   0.00037833
2.41312741   0.00037866
2.41370987   0.00037898
2.41429261   0.00037930
2.41487563   0.00037963
2.41545894   0.00037995
2.41604252   0.00038028
2.41662639   0.00038061
2.41721054   0.00038093
2.41779497   0.00038126
2.41837969   0.00038159
2.41896468   0.00038191
2.41954996   0.00038224
2.42013553   0.00038257
2.42072137   0.00038290
2.42130751   0.00038323
2.42189392   0.00038356
2.42248062   0.00038389
2.42306760   0.00038422
2.42365487   0.00038455
2.42424242   0.00038488
2.42483026   0.00038521
2.42541838   0.00038554
2.42600679   0.00038587
2.42659549   0.00038621
2.42718447   0.00038654
2.42777373   0.00038687
2.42836328   0.00038721
2.42895312   0.00038754
2.42954325   0.00038788
2.43013366   0.00038821
2.43072436   0.00038855
2.43131534   0.00038888
2.43190661   0.00038922
2.43249818   0.00038955
2.43309002   0.00038989
2.43368216   0.00039023
2.43427459   0.00039057
2.43486730   0.00039090
2.43546030   0.00039124
2.43605359   0.00039158
2.43664717   0.00039192
2.43724104   0.00039226
2.43783520   0.00039260
2.43842965   0.00039294
2.43902439   0.00039328
2.43961942   0.00039363
2.44021474   0.00039397
2.44081035   0.00039431
2.44140625   0.00039465
2.44200244   0.00039500
2.44259893   0.00039534
2.44319570   0.00039568
2.44379277   0.00039603
2.44439012   0.00039637
2.44498778   0.00039672
2.44558572   0.00039706
2.44618395   0.00039741
2.44678248   0.00039775
2.44738130   0.00039810
2.44798042   0.00039845
2.44857982   0.00039880
2.44917952   0.00039914
2.44977952   0.00039949
2.45037981   0.00039984
2.45098039   0.00040019
2.45158127   0.00040054
2.45218244   0.00040089
2.45278391   0.00040124
2.45338567   0.00040159
2.45398773   0.00040194
2.45459008   0.00040230
2.45519273   0.00040265
2.45579568   0.00040300
2.45639892   0.00040336
2.45700246   0.00377939
2.45760629   0.01411582
2.45789034   0.01913970
2.45821042   0.01361234
2.45881485   0.00316576
2.45941958   0.00040513
2.46002460   0.00040548
2.46062992   0.00040584
2.46123554   0.00040620
2.46184146   0.00040655
2.46244767   0.00040691
2.46305419   0.00040727
2.46366100   0.00040763
2.46426811   0.00040799
2.46487552   0.00040834
2.46548323   0.00040870
2.46609125   0.00040906
2.46669956   0.00040943
2.46730817   0.00040979
2.46791708   0.00041015
2.46852629   0.00041051
2.46913580   0.00041087
2.46974562   0.00041123
2.47035573   0.00041160
2.47096615   0.00041196
2.47157687   0.00041233
2.47218789   0.00041269
2.47279921   0.00041306
2.47341083   0.00041342
2.47402276   0.00041379
2.47463499   0.00041415
2.47524752   0.00041452
2.47586036   0.00041489
2.47647350   0.00041525
2.47708695   0.00041562
2.47770069   0.00041599
2.47831475   0.00041636
2.47892910   0.00041673
2.47954376   0.00041710
2.48015873   0.00041747
2.48077400   0.00041784
2.48138958   0.00041821
2.48200546   0.00041858
2.48262165   0.00041896
2.48323814   0.00041933
2.48385494   0.00041970
2.48447205   0.00042008
2.48508946   0.00042045
2.48570718   0.00042082
2.48632521   0.00042120
2.48694355   0.00042157
2.48756219   0.00042195
2.48818114   0.00042233
2.48880040   0.00042270
2.48941997   0.00042308
2.49003984   0.00042346
2.49066002   0.00042384
2.49128052   0.00042422
2.49190132   0.00042460
2.49252243   0.00042498
2.49314385   0.00042536
2.49376559   0.00042574
2.49438763   0.00042612
2.49500998   0.00042650
2.49563264   0.00042688
2.49625562   0.00042726
2.49687890   0.00042765
2.49750250   0.00042803
2.49812641   0.00042841
2.49875062   0.00042880
2.49937516   0.00042918
2.50000000   0.00013698
2.50000000   0.00013698
2.50000000   0.00013698
2.50000000   0.00013698
2.50000000   0.00013698
2.50031254   0.00005180
2.50031254   0.00005180
2.50031254   0.00005180
2.50062516   0.00014636
2.50062516   0.00014636
2.50062516   0.00014636
2.50062516   0.00014636
2.50093785   0.00005185
2.50093785   0.00005185
2.50093785   0.00005185
2.50125063   0.00014649
2.50125063   0.00014649
2.50125063   0.00014649
2.50125063   0.00014649
2.50156348   0.00005189
2.50156348   0.00005189
2.50156348   0.00005189
2.50187641   0.00014662
2.50187641   0.00014662
2.50187641   0.00014662
2.50187641   0.00014662
2.50218942   0.00005194
2.50218942   0.00005194
2.50218942   0.00005194
2.50250250   0.00014675
