lambda            k
2.38379023   0.00822774
2.38435861   0.00824347
2.38492726   0.00825925
2.38549618   0.00827507
2.38606538   0.00829093
2.38663484   0.00830684
2.38720458   0.00832280
2.38777459   0.00833879
2.38834488   0.00835484
2.38891543   0.00837093
2.38948626   0.00838706
2.39005736   0.00840325
2.39062874   0.00841947
2.39120038   0.00843575
2.39177230   0.00845206
2.39234450   0.00846843
2.39291697   0.00848484
2.39348971   0.00850130
2.39406272   0.00851781
2.39463602   0.00853436
2.39520958   0.00855096
2.39578342   0.00856761
2.39635754   0.00858431
2.39693193   0.00860105
2.39750659   0.00861784
2.39808153   0.00863468
2.39865675   0.00865157
2.39923225   0.00866850
2.39980802   0.00868548
2.40000000   0.00409027
2.40000000   0.00409027
2.40038406   0.00870252
2.40096038   0.00871961
2.40153698   0.00873674
2.40211386   0.00875393
2.40269101   0.00877116
2.40326845   0.00878844
2.40384615   0.00880578
2.40442414   0.00882316
2.40500241   0.00884059
2.40558095   0.00885808
2.40615977   0.00887561
2.40673887   0.00889320
2.40731825   0.00891083
2.40789791   0.00892852
2.40847784   0.00894626
2.40905806   0.00896406
2.40963855   0.00898190
2.41021933   0.00899980
2.41080039   0.00901775
2.41138172   0.00903575
2.41196334   0.00905380
2.41254524   0.00907191
2.41312741   0.00909007
2.41370987   0.00910829
2.41429261   0.00912655
2.41487563   0.00914488
2.41545894   0.00916325
2.41604252   0.00918168
2.41662639   0.00920017
2.41721054   0.00921871
2.41779497   0.00923730
2.41837969   0.00925595
2.41896468   0.00927466
2.41954996   0.00929342
2.42013553   0.00931224
2.42072137   0.00933111
2.42130751   0.00935004
2.42189392   0.00936903
2.42248062   0.00938807
2.42306760   0.00940717
2.42365487   0.00942633
2.42424242   0.00944554
2.42483026   0.00946481
2.42541838   0.00948414
2.42600679   0.00950353
2.42659549   0.00952298
2.42718447   0.00954248
2.42777373   0.00956204
2.42836328   0.00958167
2.42895312   0.00960135
2.42954325   0.00962109
2.43013366   0.00964089
2.43072436   0.00966075
2.43131534   0.00968067
2.43190661   0.00970066
2.43249818   0.00972070
2.43309002   0.00974080
2.43368216   0.00976097
2.43427459   0.00978119
2.43486730   0.00980148
2.43546030   0.00982183
2.43605359   0.00984224
2.43664717   0.00986272
2.43724104   0.00988325
2.43783520   0.00990385
2.43842965   0.00992452
2.43902439   0.00994524
2.43961942   0.00996603
2.44021474   0.00998689
2.44081035   0.01000780
2.44140625   0.01002879
2.44200244   0.01004983
2.44259893   0.01007095
2.44319570   0.01009213
2.44379277   0.01011337
2.44439012   0.01013468
2.44498778   0.01015605
2.44558572   0.01017750
2.44618395   0.01019900
2.44678248   0.01022058
2.44738130   0.01024222
2.44798042   0.01026393
2.44857982   0.01028571
2.44917952   0.01030755
2.44977952   0.01032947
2.45037981   0.01035145
2.45098039   0.01037350
2.45158127   0.01039562
2.45218244   0.01041781
2.45278391   0.01044007
2.45338567   0.01046240
2.45398773   0.01048480
2.45459008   0.01050727
2.45519273   0.01052981
2.45579568   0.01055243
2.45639892   0.01057511
2.45700246   0.01059787
2.45760629   0.01062069
2.45821042   0.01064359
2.45881485   0.01066657
2.45941958   0.01068961
2.46002460   0.01071273
2.46062992   0.01073593
2.46123554   0.01075919
2.46184146   0.01078253
2.46244767   0.01080595
2.46305419   0.01082944
2.46366100   0.01085300
2.46426811   0.01087664
2.46487552   0.01090036
2.46548323   0.01092415
2.46609125   0.01094802
2.46669956   0.01097197
2.46730817   0.01099599
2.46791708   0.01102009
2.46852629   0.01104427
2.46913580   0.01106853
2.46974562   0.01109286
2.47035573   0.01111728
2.47096615   0.01114177
2.47157687   0.01116634
2.47218789   0.01119099
2.47279921   0.01121572
2.47341083   0.01124054
2.47402276   0.01126543
2.47463499   0.01129040
2.47524752   0.01131546
2.47586036   0.01134060
2.47647350   0.01136582
2.47708695   0.01139112
2.47770069   0.01141650
2.47831475   0.01144197
2.47892910   0.01146752
2.47954376   0.01149316
2.48015873   0.01151888
2.48077400   0.01154468
2.48138958   0.01157057
2.48200546   0.01159655
2.48262165   0.01162261
2.48323814   0.01164876
2.48385494   0.01167499
2.48447205   0.01170131
2.48508946   0.01172772
2.48570718   0.01175422
2.48632521   0.01178080
2.48694355   0.01180748
2.48756219   0.01183424
2.48818114   0.01186109
2.48880040   0.01188803
2.48941997   0.01191506
2.49003984   0.01194218
2.49066002   0.01196939
2.49128052   0.01199670
2.49190132   0.01202409
2.49252243   0.01205158
2.49314385   0.01207916
2.49376559   0.01210683
2.49438763   0.01213459
2.49500998   0.01216245
2.49563264   0.01219041
2.49625562   0.01221845
2.49687890   0.01224660
2.49750250   0.01227483
2.49812641   0.01230317
2.49875062   0.01233160
2.49937516   0.01236010
2.50000000   0.00285180
2.50000000   0.00285180
2.50000000   0.00285180
2.50000000   0.00285180
2.50000000   0.00285180
2.50000000   0.00285180
2.50000000   0.00285180
2.50031254   0.00172112
2.50031254   0.00172112
2.50031254   0.00172112
2.50031254   0.00172112
2.50062516   0.01241745
2.50062516   0.00172378
2.50062516   0.00172378
2.50062516   0.00172378
2.50062516   0.00172378
2.50093785   0.00172644
2.50093785   0.00172644
2.50093785   0.00172644
2.50093785   0.00172644
2.50125063   0.00172911
2.50125063   0.00172911
2.50125063   0.00172911
2.50125063   0.00172911
2.50125063   0.01244627
2.50156348   0.00173178
2.50156348   0.00173178
2.50156348   0.00173178
2.50156348   0.00173178
2.50187641   0.00388261
2.50187641   0.00388261
2.50187641   0.00388261
2.50187641   0.00388261
2.50187641   0.00388261
2.50218942   0.00173716
2.50218942   0.00173716
2.50218942   0.00173716
2.50218942   0.00173716
2.50250250   0.00389273
2.50250250   0.00389273
2.50250250   0.00389273
2.50250250   0.00389273
2.50250250   0.00389273
2.50281567   0.00174257
2.50281567   0.00174257
2.50281567   0.00174257
2.50281567   0.00174257
2.50312891   0.00390289
2.50312891   0.00390289
2.50312891   0.00390289
2.50312891   0.00390289
2.50312891   0.00390289
2.50344223   0.00174801
2.50344223   0.00174801
2.50344223   0.00174801
2.50344223   0.00174801
2.50375563   0.00175075
2.50375563   0.00175075
2.50375563   0.00175075
2.50375563   0.00175075
2.50375563   0.01256253
2.50406911   0.00175349
2.50406911   0.00175349
2.50406911   0.00175349
2.50406911   0.00175349
2.50438267   0.00175624
2.50438267   0.00175624
2.50438267   0.00175624
2.50438267   0.00175624
2.50438267   0.01259185
2.50469631   0.00175899
2.50469631   0.00175899
2.50469631   0.00175899
2.50469631   0.00175899
2.50501002   0.00176176
2.50501002   0.00176176
2.50501002   0.00176176
2.50501002   0.00176176
2.50501002   0.01262126
2.50532381   0.00176453
2.50532381   0.00176453
2.50532381   0.00176453
2.50532381   0.00176453
2.50563768   0.00394401
2.50563768   0.00394401
2.50563768   0.00394401
2.50563768   0.00394401
2.50563768   0.00394401
2.50595164   0.00177010
2.50595164   0.00177010
2.50595164   0.00177010
2.50595164   0.00177010
2.50626566   0.00395440
2.50626566   0.00395440
2.50626566   0.00395440
2.50626566   0.00395440
2.50626566   0.00395440
2.50657977   0.00177571
2.50657977   0.00177571
2.50657977   0.00177571
2.50657977   0.00177571
2.50689396   0.00177852
2.50689396   0.00177852
2.50689396   0.00177852
2.50689396   0.00177852
2.50689396   0.01271012
2.50720822   0.00178135
2.50720822   0.00178135
2.50720822   0.00178135
2.50720822   0.00178135
2.50752257   0.00397533
2.50752257   0.00397533
2.50752257   0.00397533
2.50752257   0.00397533
2.50752257   0.00397533
2.50783699   0.00178702
2.50783699   0.00178702
